Experiment,Language,Variant,k_value,num_examples,BLEU,chrF,CHRF++,TER,COMET
arabic_600tokens_k0,arabic,600tokens,0,100,3.9535,27.1186,23.38,134.081,0.7332
arabic_600tokens_k1,arabic,600tokens,1,100,6.1124,30.5144,26.2601,97.2222,0.7657
arabic_600tokens_k2,arabic,600tokens,2,99,6.5424,29.8251,25.9092,95.0591,0.762
arabic_600tokens_k3,arabic,600tokens,3,97,4.4737,29.1136,25.0995,129.75,0.7513
arabic_600tokens_k4,arabic,600tokens,4,94,4.1881,28.6206,24.516,128.918,0.7501
arabic_600tokens_k5,arabic,600tokens,5,95,5.8493,29.2596,25.3092,96.8097,0.762
arabic_600tokens_k6,arabic,600tokens,6,95,6.2121,29.5814,25.6506,95.524,0.7626
arabic_600tokens_k7,arabic,600tokens,7,92,5.9625,28.8405,24.9427,97.973,0.7618
arabic_600tokens_k8,arabic,600tokens,8,91,5.799,29.2483,25.4061,97.1591,0.7558
arabic_600tokens_k9,arabic,600tokens,9,87,4.6015,29.9811,25.8607,128.136,0.7533
arabic_600tokens_k10,arabic,600tokens,10,85,5.634,28.891,25.0821,113.081,0.7436
arabic_full_k0,arabic,full,0,100,5.0812,29.0208,24.9654,108.654,0.7384
arabic_full_k1,arabic,full,1,100,6.2386,29.9935,25.8778,95.2991,0.7655
arabic_full_k2,arabic,full,2,99,5.9651,30.5159,26.3835,95.5961,0.7693
arabic_full_k3,arabic,full,3,97,5.401,30.0248,25.9442,107.926,0.7526
arabic_full_k4,arabic,full,4,94,5.4789,29.7556,25.5957,105.629,0.7535
arabic_full_k5,arabic,full,5,96,5.6471,29.651,25.5596,98.8017,0.758
arabic_full_k6,arabic,full,6,95,6.1784,30.028,25.9256,95.4148,0.7623
arabic_full_k7,arabic,full,7,92,5.8792,29.521,25.4784,99.5495,0.7644
arabic_full_k8,arabic,full,8,91,6.2317,29.9766,25.9662,96.5909,0.7593
arabic_full_k9,arabic,full,9,87,5.6702,30.4555,26.3793,104.807,0.7578
arabic_full_k10,arabic,full,10,86,6.1487,29.8468,25.8393,98.0838,0.7472
