Experiment,Language,Variant,k_value,num_examples,BLEU,chrF,CHRF++,TER,COMET
arabic_full_k3,arabic,full,3,97,5.401,30.0248,25.9442,107.926,0.7526
arabic_full_k4,arabic,full,4,94,5.4789,29.7556,25.5957,105.629,0.7535
arabic_full_k5,arabic,full,5,96,5.6471,29.651,25.5596,98.8017,0.758
arabic_hermes_k3,arabic,hermes,3,95,4.6553,29.5545,25.3224,92.126,0.7236
arabic_hermes_k4,arabic,hermes,4,91,5.1115,30.2251,25.9337,92.7381,0.7219
arabic_hermes_k5,arabic,hermes,5,87,3.2174,29.8429,25.5154,91.3548,0.722
arabic_hermes_no_pivot_k3,arabic,hermes_no_pivot,3,100,0.0459,5.6882,4.8915,1788.68,0.3118
arabic_hermes_no_pivot_k4,arabic,hermes_no_pivot,4,92,0.0314,4.8152,4.1233,2218.07,0.3109
arabic_hermes_no_pivot_k5,arabic,hermes_no_pivot,5,84,0.0206,4.2309,3.6245,2620.85,0.3088
arabic_no_pivot_k3,arabic,no_pivot,3,100,0.0206,5.1641,4.3463,1840.71,0.3114
arabic_no_pivot_k4,arabic,no_pivot,4,100,0.0173,4.4701,3.8048,2270.51,0.3113
arabic_no_pivot_k5,arabic,no_pivot,5,100,0.0145,3.9463,3.3527,2715.28,0.3085
,,,,,,,,,
konkani_full_k3,konkani,full,3,205,5.7715,25.7897,21.8988,108.09,0.5315
konkani_full_k4,konkani,full,4,204,5.7644,24.3296,20.6452,108.429,0.5197
konkani_full_k5,konkani,full,5,205,5.012,20.6846,17.6044,109.944,0.4884
konkani_hermes_k3,konkani,hermes,3,205,8.4232,30.1028,25.938,103.523,0.5211
konkani_hermes_k4,konkani,hermes,4,205,8.3438,30.013,25.7884,106.49,0.5223
konkani_hermes_k5,konkani,hermes,5,205,7.9633,27.8343,24.0337,109.365,0.503
konkani_hermes_no_pivot_k3,konkani,hermes_no_pivot,3,5,0.3367,14.611,12.6674,1038.93,0.323
konkani_hermes_no_pivot_k4,konkani,hermes_no_pivot,4,5,0.284,13.4035,11.6181,1293.89,0.3191
konkani_no_pivot_k3,konkani,no_pivot,3,205,0.2753,10.6895,9.1401,1274.85,0.3296
konkani_no_pivot_k4,konkani,no_pivot,4,205,0.2185,9.3882,7.9994,1606.33,0.3264
konkani_no_pivot_k5,konkani,no_pivot,5,205,0.1983,8.4391,7.1973,1928,0.3262
