en,msa,tn,eg,jo,pa,sy,prompt,response
"And they do traffic with these thing, and really many people have become poor.",وبقوموا  بتهريب  تلك الاشياء .  ومع العلم  انه  يوجد  كتير  جدا من الفقراء .,وهربوا برشا حاجات ويقعدوا لعباد فقراء,و بيهربوا الحاجات دي و بجد بقى ناس كتير اوي فقراء,وبهربو هاي الاشياء وبضل ناس فقرا كتير,وبهربوا هاي الشغلات وفي كثير ناس صاروا فقراء,وبيهربو الشغلات هي وعنجد في ناس كتير كتير فقرا,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وبقوموا  بتهريب  تلك الاشياء .  ومع العلم  انه  يوجد  كتير  جدا من الفقراء .
Source: And they do traffic with these thing, and really many people have become poor.
Translation: ",وبقوموا بتهريب تلك الاشياء. ومع العلم انه يوجد كتير جدا من الفقراء.
who oppress his wife won't think about his sister and he won't think but himself it means his interested if somebody id oppressing his sister and his interested only in him self,الذى يظلم زوجته لا يفكر في اخته ولا يفكر غير في نفسه بمعني لا يهمه إذا احد يظلم اخته ومهتم بنفسه فقط,اللي يظلم مرتو مايخممش في اختو مايخمم كان في روحو يعني ما يهموش كان حد ظلملو اختو مايهمو كان في روحو,اللي بيظلم مراته لا بيفكر في اخته ولا بيفكر غير في نفسه يعني لا بيهمه حد يظلم اخته ولا بيهمه غير نفسه,الي بظلم مرتو ما بفكر في اخته ولا في اي حد لا بهمو ازا حدا ظلم اختو او لا ما بهمو الا حالو,اللي بظلم مرته لا بفكر في اخته ولا في حدا بيظلم اخته هو بس بفكر وبهتم في حاله,اللي بيظلم مرته لا بيفكر في أخته وما يفكر غير في حالو  يعني ما بيهمو لو حدا ظلم أختو ما بيهمو غير حالو,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.الذى يظلم زوجته لا يفكر في اخته ولا يفكر غير في نفسه بمعني لا يهمه إذا احد يظلم اخته ومهتم بنفسه فقط
Source: who oppress his wife won't think about his sister and he won't think but himself it means his interested if somebody id oppressing his sister and his interested only in him self
Translation: ",يُظلم زوجته لا يفكر في أخته ولا يفكر غير في نفسه بمعنى لا يهمه إذا احد يظلم أخته ومهتم بنفسه فقط.
Video exclusive and unique,مقطع حصري وفريد,مقطع حصري وفريد,مقطع حصري وفريد,مقطع حصري وفريد,مقطع حصري وفريد,مقطع خاص ومافي منو,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.مقطع حصري وفريد
Source: Video exclusive and unique
Translation: ",فيديو محلي و محلي و محلي
in spite of emotion exchange between us,على الرغم من تبادل المشاعر بيننا,بالرغم المشاعر متبادلة بيناتنا,على الرغم من تبادل المشاعر بيننا,حتى مع المشاعر الي بينا,على الرغم من تبادل المشاعر بننا,على رغم من تغيير  المشاعر بينا,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.على الرغم من تبادل المشاعر بيننا
Source: in spite of emotion exchange between us
Translation: ",بدءامة المشاعر المتبادلة بيننا
What are you waiting from thieves ?,ماذا تنتظر من اللصوص ؟,شنوا تستنى من السراق؟,منتظر ايه من اللصوص ؟,شو مستني من الحرامية,,شو مستني من الحرامي ؟؟؟,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ماذا تنتظر من اللصوص ؟
Source: What are you waiting from thieves ?
Translation: ",ماذا تنتظر من اللصوص؟
"I don't know why people keep visiting the blog area, although it is been empty for a while now and no one is writing any thing",لا اعلم لماذا يداوم الناس على زيارة المدونة مع إنها فارغة ولا يوجد احد للكتابه  بها  منذ  فتره .,انا ما نعرفش علاش الناس مازالو يدخلوا للبلوق و هو فارغ مافيه شئ وماعادش حد يكتب فيه,معرفش ليه المدونة الناس بتزورها مع إنها فاضية وما فيهاش حد يكتب فيها من زمن,ما بعرف ليش الناس لساب تزور المدونة مع انها فاضية,المدونه فاضيه وما في حدا بكتب فيها من زمان ومع هيك الناس بتزورها,ما بعرف ليش الملاحظات الناس بتزورها مع أنو هي فاضية وما فيها حدا بكتب فيها من زمان,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لا اعلم لماذا يداوم الناس على زيارة المدونة مع إنها فارغة ولا يوجد احد للكتابه  بها  منذ  فتره .
Source: I don't know why people keep visiting the blog area, although it is been empty for a while now and no one is writing any thing
Translation: ",لا اعلم لماذا يداوم الناس على زيارة المدونة مع إنها فارغة ولا يوجد احد للكتابه  بها  منذ  فتره.
"what is up moon, how do you do? will you log in to the internet or not?",كيف حالك عزيزتى هل سوف تفتحى الإنترنت,شنوة يا حلوة شعاملة شنوى ماكش باش تكنكتي,إية يا قمر عاملة إية مش هتفتحى النت ولا إية,"شو يا قمر شو عاملة , مش رح تفتحي نت ؟",شو يا قمر كيف حالك ما بدك تفتحي النت ؟,شو يعني يا قمر أنتي ما رح تفتحي النت ولا شو,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.كيف حالك عزيزتى هل سوف تفتحى الإنترنت
Source: what is up moon, how do you do? will you log in to the internet or not?
Translation: ",كيف حالك عزيزتى هل سوف تفتحى الإنترنت؟ كيف حالك عزيزتى هل سوف تفتحى الإنترنت؟ كيف حالك عزيزتى هل سوف تفتحى الإنترنت؟ كيف حالك عزيزتى هل سوف تفتحى الإنترنت؟ كيف حالك عزيزتى هل سوف تفتحى الإنترنت؟ كيف حالك عزيزتى هل سوف تفتحى الإنترنت؟ كيف حالك عزيزتى هل سوف تفتحى الإنترنت؟ كيف حالك عزيزتى هل سوف تفتحى الإنترنت؟ كيف حالك عزيزتى هل سوف تفتحى الإنترنت؟ كيف حالك عزيزتى هل سوف تفتحى الإنترنت؟ كيف حالك عزيزتى هل سوف تفتحى الإنترنت؟ كيف حالك عزيزتى هل سوف تفتحى الإنترنت؟ كيف حالك عزيزتى هل سوف تفتحى الإنترنت؟ كيف حالك عزيزتى هل سوف تفتحى الإنترنت؟ كيف حالك عزيزتى هل سوف تفتحى الإنترنت؟ كيف حالك عزيزتى هل سوف تفتحى الإنترنت؟ كيف حالك 
because you are a personality that i can not describe,لأنك شخصية و لن اقدر أن أوصفها,على خاطرك شخصية بلحق منجمش نوصفها,لانك شخصيه وبجد مش هعرف اوصفها,انت جد شخصية مستحيل اقدر اوصفها,عن جد ما شاء الله عليك سخصيتك ما بتنوصف,لأنك شخصية وعنجد ما رح أعرف أوصفها,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لأنك شخصية و لن اقدر أن أوصفها
Source: because you are a personality that i can not describe
Translation: ",لأنك شخصية و لن اقدر أن أوصفها
"Really Banboon, your topics are real nice and waiting for more of you",حقا يا عزيزتى موضوعاتك جميله و منتظرين المزيد,برسمي يا بنبونة كلك تحفة و نستناو منك اكثر,بجد يا بنبونه توبيكاتك كلها تحفه ومنتظرين منك المزيد,جد يا بنبونه مواضيعك كلها تحفة وبنستنى منك اكتر,عن جد يا بنبونه كل مواضيعك حلوه وبنستنى الزيد منك,عنجد يا بنوته توبيكاتك كلها حلوة وعم نستنى منك الأكتر من هيك,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.حقا يا عزيزتى موضوعاتك جميله و منتظرين المزيد
Source: Really Banboon, your topics are real nice and waiting for more of you
Translation: ",حقا يا عزيزتى موضوعاتك جميله و منتظرين المزيد
and love whatever you want because you are going to leave it..,و أحب ما تريد لأنك ستفارقه,حب كل الي تريدوا على خاطرك ماشي و مخليه,واحبب ما شئت فانك مفارقه ..,حب الي بدك اياه اخرتك تفارقو,حب اللي بدك اياه والكل ميت ....,حب مين ما بدك بلأخر رح تفارق الكل,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و أحب ما تريد لأنك ستفارقه
Source: and love whatever you want because you are going to leave it..
Translation: ",و أحب ما تريد لأنك ستفارقه
you know what pisses me the most?,هل تعرف ماذا يضايقنى كثيرا ؟؟,تعرف شنوى اللي غايظني أكثر ؟,عارفه إيه اللى غايظنى أكتر ؟,عارفة شو اكتر اشي غايظني,بتعرفي شو اكثر اشي غايظني ؟,بتعرف شو أكتر شي غايظني ؟,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.هل تعرف ماذا يضايقنى كثيرا ؟؟
Source: you know what pisses me the most?
Translation: ",تعرف ماذا يضايقنى كثيرا ؟؟
and from the point of view of boys who take the subject as just a waste of time not something else,ومن  نظره هؤلاء الشباب الذين ينظرون الى الامر على انه مجرد تسلية .,وحسب الشباب الموضوع مضيعة للوقت و اكهو,و من نظرة الشباب الى واخدين الموضوع مجرد تسليه لا غير,ومن نظرة الشباب الي ميخذين الموضوع بس تسلاية,ومن وجهة نظر الشباب اللي معتبرين الموضوع بس تسليه,ومن نظرة الشباب الي أخدين الموضع مجرد تسلية مو أكتر,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ومن  نظره هؤلاء الشباب الذين ينظرون الى الامر على انه مجرد تسلية .
Source: and from the point of view of boys who take the subject as just a waste of time not something else
Translation: ",ومن نظره هؤلاء الشباب الذين ينظرون الى الامر على انه مجرد تسلية.
