k,BLEU,chrF,chrF++,Time (min)
0,4.016138436407654,26.061930364538483,21.973133018816718,2.664057890574137
1,4.368583925857938,26.78048834315996,22.605206865938953,1.7503363728523254
2,4.368583925857938,26.78048834315996,22.605206865938953,1.8501378377278646
3,4.016138436407654,26.061930364538483,21.973133018816718,2.236515955130259
4,4.456882760699063,27.28200105385706,23.18115104272742,2.2466781973838805
5,4.02724819242185,26.536597810303448,22.511234333986167,2.0431181748708087
6,4.456882760699063,27.28200105385706,23.18115104272742,2.0785577654838563
7,4.016138436407654,26.061930364538483,21.973133018816718,2.095443077882131
8,4.368583925857938,26.78048834315996,22.605206865938953,2.078809916973114
9,4.016138436407654,26.061930364538483,21.973133018816718,1.9834375023841857
10,4.368583925857938,26.78048834315996,22.605206865938953,2.3494048913319907
