k,BLEU,chrF,chrF++,time_minutes
0,4.368583925857938,26.297118175133498,22.235456788280068,2.028114887078603
1,5.300156689756295,27.539884704654227,23.376313322164997,0.6922814925511678
2,5.300156689756295,20.96503435739551,17.517105433170432,0.3627198537190755
3,2.954001199967652,27.44699629464434,22.372534969127177,0.36549646059672036
4,4.767707020457095,21.221503420750473,17.810083865919918,0.34805579980214435
5,5.522397783539471,28.6222297630916,24.606810070929725,0.6808607260386149
6,5.604233375480572,18.560013684556818,13.920010263417613,0.3253412008285522
7,5.522397783539471,28.6222297630916,24.606810070929725,0.2967361648877462
8,4.9323515694897075,26.775138864341912,22.802647935041563,0.34249185721079506
9,1.8564670505078418,15.677762444720303,13.252608047600454,0.6539795557657878
10,0.0,0.0,0.0,0.3446292440096537
