en,msa,tn,eg,jo,pa,sy,prompt,response
"And they do traffic with these thing, and really many people have become poor.",وبقوموا  بتهريب  تلك الاشياء .  ومع العلم  انه  يوجد  كتير  جدا من الفقراء .,وهربوا برشا حاجات ويقعدوا لعباد فقراء,و بيهربوا الحاجات دي و بجد بقى ناس كتير اوي فقراء,وبهربو هاي الاشياء وبضل ناس فقرا كتير,وبهربوا هاي الشغلات وفي كثير ناس صاروا فقراء,وبيهربو الشغلات هي وعنجد في ناس كتير كتير فقرا,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وبقوموا  بتهريب  تلك الاشياء .  ومع العلم  انه  يوجد  كتير  جدا من الفقراء .
Source: And they do traffic with these thing, and really many people have become poor.
Translation: <|im_end|>
","
وبقوموا بتهريب تلك الأشياء. ومع العلم أنه يوجد كثيراً من الفقراء."
who oppress his wife won't think about his sister and he won't think but himself it means his interested if somebody id oppressing his sister and his interested only in him self,الذى يظلم زوجته لا يفكر في اخته ولا يفكر غير في نفسه بمعني لا يهمه إذا احد يظلم اخته ومهتم بنفسه فقط,اللي يظلم مرتو مايخممش في اختو مايخمم كان في روحو يعني ما يهموش كان حد ظلملو اختو مايهمو كان في روحو,اللي بيظلم مراته لا بيفكر في اخته ولا بيفكر غير في نفسه يعني لا بيهمه حد يظلم اخته ولا بيهمه غير نفسه,الي بظلم مرتو ما بفكر في اخته ولا في اي حد لا بهمو ازا حدا ظلم اختو او لا ما بهمو الا حالو,اللي بظلم مرته لا بفكر في اخته ولا في حدا بيظلم اخته هو بس بفكر وبهتم في حاله,اللي بيظلم مرته لا بيفكر في أخته وما يفكر غير في حالو  يعني ما بيهمو لو حدا ظلم أختو ما بيهمو غير حالو,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.الذى يظلم زوجته لا يفكر في اخته ولا يفكر غير في نفسه بمعني لا يهمه إذا احد يظلم اخته ومهتم بنفسه فقط
Source: who oppress his wife won't think about his sister and he won't think but himself it means his interested if somebody id oppressing his sister and his interested only in him self
Translation: <|im_end|>
","யார் மனைவியை அவர்கள் அவரது சகோதரியை நினைக்கார் அல்லது அவர் தன்னை மட்டுமே நினைக்கும், என்பது எந்தவொரு அந்த சகோதரியை அவர் அவர்கள் அவர்கள் அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அந்த அ�"
Video exclusive and unique,مقطع حصري وفريد,مقطع حصري وفريد,مقطع حصري وفريد,مقطع حصري وفريد,مقطع حصري وفريد,مقطع خاص ومافي منو,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.مقطع حصري وفريد
Source: Video exclusive and unique
Translation: <|im_end|>
",://Exclusive and unique clip
in spite of emotion exchange between us,على الرغم من تبادل المشاعر بيننا,بالرغم المشاعر متبادلة بيناتنا,على الرغم من تبادل المشاعر بيننا,حتى مع المشاعر الي بينا,على الرغم من تبادل المشاعر بننا,على رغم من تغيير  المشاعر بينا,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.على الرغم من تبادل المشاعر بيننا
Source: in spite of emotion exchange between us
Translation: <|im_end|>
","://
Despite the exchange of emotions between us"
What are you waiting from thieves ?,ماذا تنتظر من اللصوص ؟,شنوا تستنى من السراق؟,منتظر ايه من اللصوص ؟,شو مستني من الحرامية,,شو مستني من الحرامي ؟؟؟,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ماذا تنتظر من اللصوص ؟
Source: What are you waiting from thieves ?
Translation: <|im_end|>
","
What are you waiting for from thieves?"
"I don't know why people keep visiting the blog area, although it is been empty for a while now and no one is writing any thing",لا اعلم لماذا يداوم الناس على زيارة المدونة مع إنها فارغة ولا يوجد احد للكتابه  بها  منذ  فتره .,انا ما نعرفش علاش الناس مازالو يدخلوا للبلوق و هو فارغ مافيه شئ وماعادش حد يكتب فيه,معرفش ليه المدونة الناس بتزورها مع إنها فاضية وما فيهاش حد يكتب فيها من زمن,ما بعرف ليش الناس لساب تزور المدونة مع انها فاضية,المدونه فاضيه وما في حدا بكتب فيها من زمان ومع هيك الناس بتزورها,ما بعرف ليش الملاحظات الناس بتزورها مع أنو هي فاضية وما فيها حدا بكتب فيها من زمان,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لا اعلم لماذا يداوم الناس على زيارة المدونة مع إنها فارغة ولا يوجد احد للكتابه  بها  منذ  فتره .
Source: I don't know why people keep visiting the blog area, although it is been empty for a while now and no one is writing any thing
Translation: <|im_end|>
","I don't know why people keep visiting the blog, even though it's been empty for a while and no one is writing anything."
"what is up moon, how do you do? will you log in to the internet or not?",كيف حالك عزيزتى هل سوف تفتحى الإنترنت,شنوة يا حلوة شعاملة شنوى ماكش باش تكنكتي,إية يا قمر عاملة إية مش هتفتحى النت ولا إية,"شو يا قمر شو عاملة , مش رح تفتحي نت ؟",شو يا قمر كيف حالك ما بدك تفتحي النت ؟,شو يعني يا قمر أنتي ما رح تفتحي النت ولا شو,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.كيف حالك عزيزتى هل سوف تفتحى الإنترنت
Source: what is up moon, how do you do? will you log in to the internet or not?
Translation: <|im_end|>
","
எப்படி இருக்கிறாய் அவர்கள், நீங்கள் இணையம் உள்ளீர்களா அல்லது இல்லையா?"
because you are a personality that i can not describe,لأنك شخصية و لن اقدر أن أوصفها,على خاطرك شخصية بلحق منجمش نوصفها,لانك شخصيه وبجد مش هعرف اوصفها,انت جد شخصية مستحيل اقدر اوصفها,عن جد ما شاء الله عليك سخصيتك ما بتنوصف,لأنك شخصية وعنجد ما رح أعرف أوصفها,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لأنك شخصية و لن اقدر أن أوصفها
Source: because you are a personality that i can not describe
Translation: <|im_end|>
","://
Because you are a personality that I can't describe"
"Really Banboon, your topics are real nice and waiting for more of you",حقا يا عزيزتى موضوعاتك جميله و منتظرين المزيد,برسمي يا بنبونة كلك تحفة و نستناو منك اكثر,بجد يا بنبونه توبيكاتك كلها تحفه ومنتظرين منك المزيد,جد يا بنبونه مواضيعك كلها تحفة وبنستنى منك اكتر,عن جد يا بنبونه كل مواضيعك حلوه وبنستنى الزيد منك,عنجد يا بنوته توبيكاتك كلها حلوة وعم نستنى منك الأكتر من هيك,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.حقا يا عزيزتى موضوعاتك جميله و منتظرين المزيد
Source: Really Banboon, your topics are real nice and waiting for more of you
Translation: <|im_end|>
","://
Ya Ezizti, mawdu'atik jamila wa muttali'an lil-mazid"
and love whatever you want because you are going to leave it..,و أحب ما تريد لأنك ستفارقه,حب كل الي تريدوا على خاطرك ماشي و مخليه,واحبب ما شئت فانك مفارقه ..,حب الي بدك اياه اخرتك تفارقو,حب اللي بدك اياه والكل ميت ....,حب مين ما بدك بلأخر رح تفارق الكل,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و أحب ما تريد لأنك ستفارقه
Source: and love whatever you want because you are going to leave it..
Translation: <|im_end|>
","
and love what you want because you will leave it."
you know what pisses me the most?,هل تعرف ماذا يضايقنى كثيرا ؟؟,تعرف شنوى اللي غايظني أكثر ؟,عارفه إيه اللى غايظنى أكتر ؟,عارفة شو اكتر اشي غايظني,بتعرفي شو اكثر اشي غايظني ؟,بتعرف شو أكتر شي غايظني ؟,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.هل تعرف ماذا يضايقنى كثيرا ؟؟
Source: you know what pisses me the most?
Translation: <|im_end|>
","://
هل تعرف ماذا يضايقني كثيرا؟"
and from the point of view of boys who take the subject as just a waste of time not something else,ومن  نظره هؤلاء الشباب الذين ينظرون الى الامر على انه مجرد تسلية .,وحسب الشباب الموضوع مضيعة للوقت و اكهو,و من نظرة الشباب الى واخدين الموضوع مجرد تسليه لا غير,ومن نظرة الشباب الي ميخذين الموضوع بس تسلاية,ومن وجهة نظر الشباب اللي معتبرين الموضوع بس تسليه,ومن نظرة الشباب الي أخدين الموضع مجرد تسلية مو أكتر,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ومن  نظره هؤلاء الشباب الذين ينظرون الى الامر على انه مجرد تسلية .
Source: and from the point of view of boys who take the subject as just a waste of time not something else
Translation: <|im_end|>
",and from the perspective of these young people who see it as just a pastime.
possible you return to many books and read judgments of every sheikh in explanation,من الممكن أن ترجع الى كتب كثيرة و تقرأ إجتهاد كل شيخ فى التفسير,تنجم ترجع لبرشا كتب و تقرا اجتهاد كل شيخ في التفسير,ممكن ترجع لكتب كتير وتقرا اجتهاد كل شيخ في التفسير,ممكن انك ترجع لكثير كتب وترأ اجتهاد كل شيخ بالتفسير,بتقدر ترجع لكتب التفسير وهي كثيره وتقرأ اجتهاد كل شيخ,ممكن ترجع لكتب كتير وتقرا اجتهاد كل شيخ في التفسير,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.من الممكن أن ترجع الى كتب كثيرة و تقرأ إجتهاد كل شيخ فى التفسير
Source: possible you return to many books and read judgments of every sheikh in explanation
Translation: <|im_end|>
","
It is possible to refer to many books and read the interpretations of every sheikh in explanation."
oh sure Ala' deserved it but if you're a football fan you'd have known that he's strongly wounded and will sit for a month and his level will sure decrease,اوه أكيد علاء يستحق هذا ولكن إذا كنت من مشجعي كرة القدم كنت ستعلم أنه قد جرح بشدة وسيجلس لمدة شهر ولذلك سوف ينخفض مستواه,بالطبيعة علاء يستحق كان جيت اتبع الكورة راك عرفت اللي هو مضروب وضربيو خطيرة ماهوش باش يلعب شهر واكيد مستواه باش يطيح يا كبتن,اه اكيد طبعاا علااء كان احق بس لو انت متااابع كورة كنت عرفت انه مصااب واصا بة شديدة هيقعد شهر واكيد مستوااه هيقل يااكابتن,اه اكيد علاء كان احق بس لو متابع الكرة كنت عرفت انو مصاب اصابة قوية ورح يقعد شهر واكيد رح يقل مستواه,اه اكيد علاء احق منه بس لو انت متابع اخبار كرة القدم لكان عرفت انو علاء اتصاوب وبدو شهر تيرجع وكمان في هالشهر رح يقل مستواه يا كابتن,اي أكيد طبعا علاء كان أحق بس لو أنت متابع طابة كنت عرفت أنه مصاب وأصابة قوية كتير ورح يقعد شهر واكيد مستواه رح ينزل يا كابتن,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.اوه أكيد علاء يستحق هذا ولكن إذا كنت من مشجعي كرة القدم كنت ستعلم أنه قد جرح بشدة وسيجلس لمدة شهر ولذلك سوف ينخفض مستواه
Source: oh sure Ala' deserved it but if you're a football fan you'd have known that he's strongly wounded and will sit for a month and his level will sure decrease
Translation: <|im_end|>
","Oh sure, Alaa deserves it, but if you're a football fan, you'd know he's really hurt and will sit out for a month, so his level will definitely decrease."
"on your face, but when a genius like me stand in a front of an animal like you",قد قاربت و لكن عندما يكون عبقرى مثلى يقف امام وغد مثلك,كيفاش واحد عبقري كيفي يقف قدام حيوان كيفك,على وشك بس لما عبقري زيي يقف قدام حيوان زيك,"تقريبا , بس لما عبقري زيي يوقف قدام حيوان زيك",على وشك بس يوم ذكي زيي يقف قدام غبي زيك,على وشك بس لما فهيم متلي بيوقف قدام حيوان متلك,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.قد قاربت و لكن عندما يكون عبقرى مثلى يقف امام وغد مثلك
Source: on your face, but when a genius like me stand in a front of an animal like you
Translation: <|im_end|>
","
قريبك و لكن عندما يكون عبقرى مثللي تقف أمام وغد مثلك"
