k,BLEU,chrF,chrF++,Time (min)
0,4.368583925857938,26.297118175133498,22.235456788280068,1.7882649938265482
1,4.789232204309912,20.496864278376865,17.127115196379712,1.3649590094884236
2,5.522397783539471,19.99414791342293,16.595098991559816,1.0528488238652547
3,0.0,0.0,0.0,1.065609880288442
4,5.522397783539471,20.97856137105232,17.57323925573406,1.0422093788782756
5,6.27465531099474,21.470148378856805,17.996981740093634,1.0575953801472981
6,3.168429634207702,17.81755308824787,14.830687659731787,1.0202709794044496
7,5.300156689756295,28.0705988020257,23.779529521800995,1.0968226234118144
8,4.456882760699063,26.80775878814113,22.7259671312968,0.9656063357988993
9,6.742555929751843,30.24711045080047,25.678488730256312,0.8823522686958313
10,5.865587580131999,25.26632851743627,21.928529508700294,0.8976740082105
