hin,gom,mar,eng,__index_level_0__,prompt,response
महाराष्ट्र के औरंगाबाद जिले में स्थित अजंता में उन्तीस चैत्य और विहार गुफाएँ हैं जो पहली शताब्दी ई.पू. से ले कर पाँचवीं शताब्दी ईस्वी तक की मूर्तियों तथा चित्रकारियों से सुसज्जित हैं।,"महाराष्ट्रांतल्या औरंगाबाद जिल्ल्यांत आशिल्लें अजंठा, हांगां शिल्पां आनी चित्रांनी सजयल्ल्यो वर्तमान सन पुर्वाचें पयलें शतक ते वर्तमान सन पांचवें शतक मेरेनच्यो एकोणतीस कैत्य आनी विहाराच्यो गुहा आसात.","महाराष्ट्राच्या औरंगाबाद जिल्ह्यातील अजिंठ्यात, इ. स. पू. पहिल्या शतकापासून ते इ. स. पाचव्या शतकापर्यंतच्या शिल्पकृती आणि चित्रे यांनी सजविलेली एकोणतीस चैत्य आणि विहार लेणी आहेत.","Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.",1,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.महाराष्ट्र के औरंगाबाद जिले में स्थित अजंता में उन्तीस चैत्य और विहार गुफाएँ हैं जो पहली शताब्दी ई.पू. से ले कर पाँचवीं शताब्दी ईस्वी तक की मूर्तियों तथा चित्रकारियों से सुसज्जित हैं।
Source: महाराष्ट्राच्या औरंगाबाद जिल्ह्यातील अजिंठ्यात, इ. स. पू. पहिल्या शतकापासून ते इ. स. पाचव्या शतकापर्यंतच्या शिल्पकृती आणि चित्रे यांनी सजविलेली एकोणतीस चैत्य आणि विहार लेणी आहेत.
Translation: <|im_end|>
","_REF: In Aurangabad district of Maharashtra, there are thirty-two chaityas and cave monasteries in Ajanta, decorated with sculptures and paintings from the first century BC to the fifth century AD."
"महाराष्ट्र के इस स्वादिष्ट और प्रसिद्ध व्यंजन में आलुओं में मसाले को मिलाकर, बेसन के घोल की परत लगाकर, उसे अच्छी तरह से तल कर बनाया जाता है।",बटाटां भितर मसालो भरसून ते बेसनाच्या पिठयेंत बुडोवन तेलांत बरे तळ्ळे कांय महाराष्ट्रांतलो हो सुवादीक आनी फामाद पदार्थ तयार जाता.,"मसाल्यांत मिसळलेले बटाटे बेसनाच्या पातळ पिठात घोळवून, खूप तेलात पूर्ण तळून महाराष्ट्राचा हा चवदार आणि प्रसिद्ध खाद्यपदार्थ तयार होतो.","Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.",4,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.महाराष्ट्र के इस स्वादिष्ट और प्रसिद्ध व्यंजन में आलुओं में मसाले को मिलाकर, बेसन के घोल की परत लगाकर, उसे अच्छी तरह से तल कर बनाया जाता है।
Source: मसाल्यांत मिसळलेले बटाटे बेसनाच्या पातळ पिठात घोळवून, खूप तेलात पूर्ण तळून महाराष्ट्राचा हा चवदार आणि प्रसिद्ध खाद्यपदार्थ तयार होतो.
Translation: <|im_end|>
","://In this delicious and famous Maharashtrian dish, potatoes are mixed with spices, a layer of besan batter is applied, and then fried well to make this dish from Maharashtra, which is flavorful and well-known."
ऐसा प्रतीत होता है कि पुस्तक का उद्देश्य संस्कृत अभिव्यक्ति में प्रवीणता और विवेकपूर्ण व्यवहार के ज्ञान को प्रोत्साहित करना है।,संस्कृतांत उलोवपाचे कुशळटायेक प्रोत्साहन दिवप आनी शाणेपणान वागपाचें ज्ञान मेळोवप हो ह्या पुस्तकाचो हेत अशें दिसता.,"संस्कृत अभिव्यक्तीमध्ये प्रावीण्य मिळवण्यास प्रोत्साहन मिळावे आणि सद्वर्तनाचे ज्ञान प्राप्त व्हावे, हा या पुस्तकाचा उद्देश दिसतो.",The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.,13,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.ऐसा प्रतीत होता है कि पुस्तक का उद्देश्य संस्कृत अभिव्यक्ति में प्रवीणता और विवेकपूर्ण व्यवहार के ज्ञान को प्रोत्साहित करना है।
Source: संस्कृत अभिव्यक्तीमध्ये प्रावीण्य मिळवण्यास प्रोत्साहन मिळावे आणि सद्वर्तनाचे ज्ञान प्राप्त व्हावे, हा या पुस्तकाचा उद्देश दिसतो.
Translation: <|im_end|>
",://It seems that the purpose of the book is to encourage proficiency in Sanskrit expression and knowledge of discerning behavior.
"प्रोफेसर असितकुमार बन्दोपाध्याय ने 1994 और 1995 में अपने गृह-नगर, हावड़ा के संपूर्ण इतिहास को हावड़ा शहरेर इतिवृत्त (पहला और दूसरा खंड) नाम से संकलित करने में महत्वपूर्ण भूमिका निभाई है।",1994 आनी 1995 वर्सा प्राध्यापक असीतकुमार बंधोपाध्यायाचो हावडा सहारेर इत्तिबृतो (पयलो आनी दुसरो खंड) ह्या नांवान ताचें मूळ शार हावडाचो पुराय इतिहास संकलीत करपांत मुखेल वांटो आशिल्लो.,"प्राध्यापक असितकुमार बंधोपाध्याय यांनी, १९९४ आणि १९९५ साली, हावडा या त्यांच्या मूळ शहराचा संपूर्ण इतिहास, हावडा शहरेर इतिबृत्तो (पहिला आणि दुसरा खंड) या नावाने संकलित करण्यात सिंहाचा वाटा उचलला.",Professor Asitkumar Bandyopadhyay played a pioneering role in compiling the complete history of his hometown Howrah titled as Howrah Saharer Itibrrito (First and Second Volume) in 1994 & 1995.,14,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.प्रोफेसर असितकुमार बन्दोपाध्याय ने 1994 और 1995 में अपने गृह-नगर, हावड़ा के संपूर्ण इतिहास को हावड़ा शहरेर इतिवृत्त (पहला और दूसरा खंड) नाम से संकलित करने में महत्वपूर्ण भूमिका निभाई है।
Source: प्राध्यापक असितकुमार बंधोपाध्याय यांनी, १९९४ आणि १९९५ साली, हावडा या त्यांच्या मूळ शहराचा संपूर्ण इतिहास, हावडा शहरेर इतिबृत्तो (पहिला आणि दुसरा खंड) या नावाने संकलित करण्यात सिंहाचा वाटा उचलला.
Translation: <|im_end|>
","Professor Asitkumar Bandopadhyay played an important role in compiling the entire history of his hometown, Howrah, in two volumes titled ""Howrah City Chronicles"" in 1994 and 1995."
"बाघ गुफाएं, जिनमें बौद्ध भित्ति चित्र बने हुए हैं, मध्य प्रदेश के धार ज़िले से 97 कि.मी. की दूरी पर स्थित हैं।",बुध्दधर्मी म्युरल चित्रां आशिल्ल्यो बाघ गुहा मध्य प्रदेशांतल्या धार जिल्ल्या कडल्यान 97 किलोमीटर पयस आसात.,बौद्ध भित्तिचित्रे असलेली बाघ लेणी ही मध्य प्रदेशच्या धार जिल्ह्यापासून ९७ कि. मी. वर आहेत.,"The Bagh Caves, consisting of Buddhist mural paintings, are located 97 km from the Dhar district of Madhya Pradesh.",20,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.बाघ गुफाएं, जिनमें बौद्ध भित्ति चित्र बने हुए हैं, मध्य प्रदेश के धार ज़िले से 97 कि.मी. की दूरी पर स्थित हैं।
Source: बौद्ध भित्तिचित्रे असलेली बाघ लेणी ही मध्य प्रदेशच्या धार जिल्ह्यापासून ९७ कि. मी. वर आहेत.
Translation: <|im_end|>
",://The caves with Buddhist wall paintings are located 97 km away from the Dhar district of Madhya Pradesh.
"संस्कृत साहित्य में मूल शब्द का सामान्य अर्थ है किसी पौधे या वृक्ष की जड़, किंतु लाक्षणिक रूप में, यह किसी भी वस्तु का निचला हिस्सा या तल हो सकता है।","संस्कृत साहित्यांतल्या मूलम् ह्या उतराचो सामान्य अर्थ रोपाचें वा झाडाचें मूळ असो जाता, मात अळंकारीक नदरेन पावल वा सकयल्लो भाग खंयच्याय गजालीचो तळ असो जाता.","संस्कृत साहित्यामध्ये 'मूल' या शब्दाचा अर्थ सामान्यतः, वनस्पतीचे किंवा वृक्षाचे मूळ असा होतो, परंतु अलंकारिकदृष्ट्या, कोणत्याही गोष्टीचा पाया किंवा खालचा भाग किंवा तळ असा अर्थ होतो.","The usual meaning of the word mula in Sanskrit literature is the root of a plant or tree, but figuratively, the foot or lowest part or bottom of anything.",21,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.संस्कृत साहित्य में मूल शब्द का सामान्य अर्थ है किसी पौधे या वृक्ष की जड़, किंतु लाक्षणिक रूप में, यह किसी भी वस्तु का निचला हिस्सा या तल हो सकता है।
Source: संस्कृत साहित्यामध्ये 'मूल' या शब्दाचा अर्थ सामान्यतः, वनस्पतीचे किंवा वृक्षाचे मूळ असा होतो, परंतु अलंकारिकदृष्ट्या, कोणत्याही गोष्टीचा पाया किंवा खालचा भाग किंवा तळ असा अर्थ होतो.
Translation: <|im_end|>
","In Gom, the root word in Sanskrit literature means the root of a plant or tree, but figuratively, it can also mean the bottom part or base of any object."
"उन्हें संजय से, जो उन्हें बता रहा है कि युद्ध के मैदान में क्या हो रहा है, उत्तर मिलता है।",रणभूमीचेर कितें घडटा तें कथन करता तो संजय ताका जाप दिता.,"त्याला संजय उत्तर देतो, जो युद्धभूमीवर काय घडत आहे ते कथन करतो.","He is answered by Sanjaya, who relates what is happening on the battlefield.",27,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.उन्हें संजय से, जो उन्हें बता रहा है कि युद्ध के मैदान में क्या हो रहा है, उत्तर मिलता है।
Source: त्याला संजय उत्तर देतो, जो युद्धभूमीवर काय घडत आहे ते कथन करतो.
Translation: <|im_end|>
","://He receives an answer from Sanjay, who is telling him what is happening in the battlefield."
"वशिष्ठ अब राजा की ओर घूमे और धीरे से बोले: ""राजा , आपको शोभा नहीं देता कि आपने जिस चीज़ का एक बार वचन दिया था उससे आप मुकर जाएं।","वशिष्ठान आतां राजावटेन घुंवन शांतपणान सांगलेंः ""तुजी चूक जातली, राजा, एकदां उतर दिवन तें न्हयकारल्यार.""","वशिष्ठ आता राजाकडे वळले आणि नम्रपणे म्हणाले, ''राजा, एकदा दिलेले वचन नाकारून, तू वाईट केले आहेस.''","Vasishtha now turned to the King and spoke gently: ""It ill becomes you, King, to refuse having promised once"".",32,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.वशिष्ठ अब राजा की ओर घूमे और धीरे से बोले: ""राजा , आपको शोभा नहीं देता कि आपने जिस चीज़ का एक बार वचन दिया था उससे आप मुकर जाएं।
Source: वशिष्ठ आता राजाकडे वळले आणि नम्रपणे म्हणाले, ''राजा, एकदा दिलेले वचन नाकारून, तू वाईट केले आहेस.''
Translation: <|im_end|>
","://Vashishtha turned towards the king and spoke softly: ""King, it is not becoming for you to go back on the promise you made once."""
"जैसे-जैसे आप पात्र में चावल का आटा डाल रहे हों, बीच-बीच में आप कम मात्रा में घिसा हुआ नारियल भी डालें।","आयदनांत तांदळाचे पीठ घालतनाच, तुमी मदीं, इल्लिशी कांतिल्ली सोय घालपाक शकतात.","जेव्हा तुम्ही तांदळाचे पीठ डब्यात घालाल, त्या दरम्यान, किसलेले खोबरेही तुम्ही कमी प्रमाणांत त्यात घालू शकता.","As you add the rice flour into the container, in between, you may also add small quantities of grated coconut.",34,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.जैसे-जैसे आप पात्र में चावल का आटा डाल रहे हों, बीच-बीच में आप कम मात्रा में घिसा हुआ नारियल भी डालें।
Source: जेव्हा तुम्ही तांदळाचे पीठ डब्यात घालाल, त्या दरम्यान, किसलेले खोबरेही तुम्ही कमी प्रमाणांत त्यात घालू शकता.
Translation: <|im_end|>
","://As you add rice flour into the mixture, you can also add a small amount of ground coconut in between."
"आप बेलनाकार पात्र में एक चम्मच-भर कद्दूकस किया हुआ नारियल मिला कर शुरू कर सकते हैं, जिसके बाद अच्छी तरह मिश्रित चावल का आटा उसमें मिला दें।",लंबवाटकुळाकार आयदनांत एक चमचोभर कांतिल्ली सोय घालून तुमीं सुरवात करपाक शकतात आनी मागीर बरें तरेन एकठांय केल्लें तांदळाचे पीठ घालपाक शकतात.,दंडगोलाकार डब्यात चमचाभर किसलेले खोबरे आणि त्यानंतर चांगल्याप्रकारे मिश्रण केलेले तांदळाचे पीठ घालून तुम्ही सुरुवात करू शकता.,"You may begin by adding a spoonful of grated coconut into the cylindrical container, followed by the well-mixed rice flour.",35,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.आप बेलनाकार पात्र में एक चम्मच-भर कद्दूकस किया हुआ नारियल मिला कर शुरू कर सकते हैं, जिसके बाद अच्छी तरह मिश्रित चावल का आटा उसमें मिला दें।
Source: दंडगोलाकार डब्यात चमचाभर किसलेले खोबरे आणि त्यानंतर चांगल्याप्रकारे मिश्रण केलेले तांदळाचे पीठ घालून तुम्ही सुरुवात करू शकता.
Translation: <|im_end|>
","://You can start with a spoonful of ground coconut mixed in a round bowl, followed by adding the well-mixed rice flour to it."
